Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",234.370000,-30.460000,90.000000,bottom
"C2","1uF","C_0402_1005Metric",231.340000,-29.270000,-90.000000,bottom
"C3_1","0.1uF","C_0402_1005Metric",49.300000,-68.640000,180.000000,bottom
"C3_2","0.1uF","C_0402_1005Metric",49.300000,-119.140000,180.000000,bottom
"C3_3","0.1uF","C_0402_1005Metric",49.300000,-169.640000,180.000000,bottom
"C3_4","0.1uF","C_0402_1005Metric",74.300000,-93.640000,180.000000,bottom
"C3_5","0.1uF","C_0402_1005Metric",74.300000,-144.140000,180.000000,bottom
"C3_6","0.1uF","C_0402_1005Metric",99.800000,-68.640000,180.000000,bottom
"C3_7","0.1uF","C_0402_1005Metric",99.800000,-119.140000,180.000000,bottom
"C3_8","0.1uF","C_0402_1005Metric",99.800000,-169.640000,180.000000,bottom
"C3_9","0.1uF","C_0402_1005Metric",124.800000,-93.640000,180.000000,bottom
"C3_10","0.1uF","C_0402_1005Metric",124.800000,-144.140000,180.000000,bottom
"C3_11","0.1uF","C_0402_1005Metric",150.300000,-68.640000,180.000000,bottom
"C3_12","0.1uF","C_0402_1005Metric",150.300000,-119.140000,180.000000,bottom
"C3_13","0.1uF","C_0402_1005Metric",150.300000,-169.640000,180.000000,bottom
"C3_14","0.1uF","C_0402_1005Metric",175.300000,-93.640000,180.000000,bottom
"C3_15","0.1uF","C_0402_1005Metric",175.300000,-144.140000,180.000000,bottom
"C3_16","0.1uF","C_0402_1005Metric",200.800000,-68.640000,180.000000,bottom
"C3_17","0.1uF","C_0402_1005Metric",200.800000,-119.140000,180.000000,bottom
"C3_18","0.1uF","C_0402_1005Metric",200.800000,-169.640000,180.000000,bottom
"C3_19","0.1uF","C_0402_1005Metric",225.800000,-93.640000,180.000000,bottom
"C3_20","0.1uF","C_0402_1005Metric",225.800000,-144.140000,180.000000,bottom
"C4_1","0.1uF","C_0402_1005Metric",41.700000,-67.140000,-90.000000,bottom
"C4_2","0.1uF","C_0402_1005Metric",41.700000,-117.640000,-90.000000,bottom
"C4_3","0.1uF","C_0402_1005Metric",41.700000,-168.140000,-90.000000,bottom
"C4_4","0.1uF","C_0402_1005Metric",66.700000,-92.140000,-90.000000,bottom
"C4_5","0.1uF","C_0402_1005Metric",66.700000,-142.640000,-90.000000,bottom
"C4_6","0.1uF","C_0402_1005Metric",92.200000,-67.140000,-90.000000,bottom
"C4_7","0.1uF","C_0402_1005Metric",92.200000,-117.640000,-90.000000,bottom
"C4_8","0.1uF","C_0402_1005Metric",92.200000,-168.140000,-90.000000,bottom
"C4_9","0.1uF","C_0402_1005Metric",117.200000,-92.140000,-90.000000,bottom
"C4_10","0.1uF","C_0402_1005Metric",117.200000,-142.640000,-90.000000,bottom
"C4_11","0.1uF","C_0402_1005Metric",142.700000,-67.140000,-90.000000,bottom
"C4_12","0.1uF","C_0402_1005Metric",142.700000,-117.640000,-90.000000,bottom
"C4_13","0.1uF","C_0402_1005Metric",142.700000,-168.140000,-90.000000,bottom
"C4_14","0.1uF","C_0402_1005Metric",167.700000,-92.140000,-90.000000,bottom
"C4_15","0.1uF","C_0402_1005Metric",167.700000,-142.640000,-90.000000,bottom
"C4_16","0.1uF","C_0402_1005Metric",193.200000,-67.140000,-90.000000,bottom
"C4_17","0.1uF","C_0402_1005Metric",193.200000,-117.640000,-90.000000,bottom
"C4_18","0.1uF","C_0402_1005Metric",193.200000,-168.140000,-90.000000,bottom
"C4_19","0.1uF","C_0402_1005Metric",218.200000,-92.140000,-90.000000,bottom
"C4_20","0.1uF","C_0402_1005Metric",218.200000,-142.640000,-90.000000,bottom
"C5_1","0.1uF","C_0402_1005Metric",41.600000,-64.010000,90.000000,bottom
"C5_2","0.1uF","C_0402_1005Metric",41.600000,-114.510000,90.000000,bottom
"C5_3","0.1uF","C_0402_1005Metric",41.600000,-165.010000,90.000000,bottom
"C5_4","0.1uF","C_0402_1005Metric",66.600000,-89.010000,90.000000,bottom
"C5_5","0.1uF","C_0402_1005Metric",66.600000,-139.510000,90.000000,bottom
"C5_6","0.1uF","C_0402_1005Metric",92.100000,-64.010000,90.000000,bottom
"C5_7","0.1uF","C_0402_1005Metric",92.100000,-114.510000,90.000000,bottom
"C5_8","0.1uF","C_0402_1005Metric",92.100000,-165.010000,90.000000,bottom
"C5_9","0.1uF","C_0402_1005Metric",117.100000,-89.010000,90.000000,bottom
"C5_10","0.1uF","C_0402_1005Metric",117.100000,-139.510000,90.000000,bottom
"C5_11","0.1uF","C_0402_1005Metric",142.600000,-64.010000,90.000000,bottom
"C5_12","0.1uF","C_0402_1005Metric",142.600000,-114.510000,90.000000,bottom
"C5_13","0.1uF","C_0402_1005Metric",142.600000,-165.010000,90.000000,bottom
"C5_14","0.1uF","C_0402_1005Metric",167.600000,-89.010000,90.000000,bottom
"C5_15","0.1uF","C_0402_1005Metric",167.600000,-139.510000,90.000000,bottom
"C5_16","0.1uF","C_0402_1005Metric",193.100000,-64.010000,90.000000,bottom
"C5_17","0.1uF","C_0402_1005Metric",193.100000,-114.510000,90.000000,bottom
"C5_18","0.1uF","C_0402_1005Metric",193.100000,-165.010000,90.000000,bottom
"C5_19","0.1uF","C_0402_1005Metric",218.100000,-89.010000,90.000000,bottom
"C5_20","0.1uF","C_0402_1005Metric",218.100000,-139.510000,90.000000,bottom
"C6_1","0.1uF","C_0402_1005Metric",41.510000,-60.800000,90.000000,bottom
"C6_2","0.1uF","C_0402_1005Metric",41.510000,-111.300000,90.000000,bottom
"C6_3","0.1uF","C_0402_1005Metric",41.510000,-161.800000,90.000000,bottom
"C6_4","0.1uF","C_0402_1005Metric",66.510000,-85.800000,90.000000,bottom
"C6_5","0.1uF","C_0402_1005Metric",66.510000,-136.300000,90.000000,bottom
"C6_6","0.1uF","C_0402_1005Metric",92.010000,-60.800000,90.000000,bottom
"C6_7","0.1uF","C_0402_1005Metric",92.010000,-111.300000,90.000000,bottom
"C6_8","0.1uF","C_0402_1005Metric",92.010000,-161.800000,90.000000,bottom
"C6_9","0.1uF","C_0402_1005Metric",117.010000,-85.800000,90.000000,bottom
"C6_10","0.1uF","C_0402_1005Metric",117.010000,-136.300000,90.000000,bottom
"C6_11","0.1uF","C_0402_1005Metric",142.510000,-60.800000,90.000000,bottom
"C6_12","0.1uF","C_0402_1005Metric",142.510000,-111.300000,90.000000,bottom
"C6_13","0.1uF","C_0402_1005Metric",142.510000,-161.800000,90.000000,bottom
"C6_14","0.1uF","C_0402_1005Metric",167.510000,-85.800000,90.000000,bottom
"C6_15","0.1uF","C_0402_1005Metric",167.510000,-136.300000,90.000000,bottom
"C6_16","0.1uF","C_0402_1005Metric",193.010000,-60.800000,90.000000,bottom
"C6_17","0.1uF","C_0402_1005Metric",193.010000,-111.300000,90.000000,bottom
"C6_18","0.1uF","C_0402_1005Metric",193.010000,-161.800000,90.000000,bottom
"C6_19","0.1uF","C_0402_1005Metric",218.010000,-85.800000,90.000000,bottom
"C6_20","0.1uF","C_0402_1005Metric",218.010000,-136.300000,90.000000,bottom
"C7_1","0.1uF","C_0402_1005Metric",38.280000,-59.250000,180.000000,bottom
"C7_2","0.1uF","C_0402_1005Metric",38.280000,-109.750000,180.000000,bottom
"C7_3","0.1uF","C_0402_1005Metric",38.280000,-160.250000,180.000000,bottom
"C7_4","0.1uF","C_0402_1005Metric",63.280000,-84.250000,180.000000,bottom
"C7_5","0.1uF","C_0402_1005Metric",63.280000,-134.750000,180.000000,bottom
"C7_6","0.1uF","C_0402_1005Metric",88.780000,-59.250000,180.000000,bottom
"C7_7","0.1uF","C_0402_1005Metric",88.780000,-109.750000,180.000000,bottom
"C7_8","0.1uF","C_0402_1005Metric",88.780000,-160.250000,180.000000,bottom
"C7_9","0.1uF","C_0402_1005Metric",113.780000,-84.250000,180.000000,bottom
"C7_10","0.1uF","C_0402_1005Metric",113.780000,-134.750000,180.000000,bottom
"C7_11","0.1uF","C_0402_1005Metric",139.280000,-59.250000,180.000000,bottom
"C7_12","0.1uF","C_0402_1005Metric",139.280000,-109.750000,180.000000,bottom
"C7_13","0.1uF","C_0402_1005Metric",139.280000,-160.250000,180.000000,bottom
"C7_14","0.1uF","C_0402_1005Metric",164.280000,-84.250000,180.000000,bottom
"C7_15","0.1uF","C_0402_1005Metric",164.280000,-134.750000,180.000000,bottom
"C7_16","0.1uF","C_0402_1005Metric",189.780000,-59.250000,180.000000,bottom
"C7_17","0.1uF","C_0402_1005Metric",189.780000,-109.750000,180.000000,bottom
"C7_18","0.1uF","C_0402_1005Metric",189.780000,-160.250000,180.000000,bottom
"C7_19","0.1uF","C_0402_1005Metric",214.780000,-84.250000,180.000000,bottom
"C7_20","0.1uF","C_0402_1005Metric",214.780000,-134.750000,180.000000,bottom
"C8_1","0.1uF","C_0402_1005Metric",41.100000,-53.010000,180.000000,bottom
"C8_2","0.1uF","C_0402_1005Metric",41.100000,-103.510000,180.000000,bottom
"C8_3","0.1uF","C_0402_1005Metric",41.100000,-154.010000,180.000000,bottom
"C8_4","0.1uF","C_0402_1005Metric",66.100000,-78.010000,180.000000,bottom
"C8_5","0.1uF","C_0402_1005Metric",66.100000,-128.510000,180.000000,bottom
"C8_6","0.1uF","C_0402_1005Metric",91.600000,-53.010000,180.000000,bottom
"C8_7","0.1uF","C_0402_1005Metric",91.600000,-103.510000,180.000000,bottom
"C8_8","0.1uF","C_0402_1005Metric",91.600000,-154.010000,180.000000,bottom
"C8_9","0.1uF","C_0402_1005Metric",116.600000,-78.010000,180.000000,bottom
"C8_10","0.1uF","C_0402_1005Metric",116.600000,-128.510000,180.000000,bottom
"C8_11","0.1uF","C_0402_1005Metric",142.100000,-53.010000,180.000000,bottom
"C8_12","0.1uF","C_0402_1005Metric",142.100000,-103.510000,180.000000,bottom
"C8_13","0.1uF","C_0402_1005Metric",142.100000,-154.010000,180.000000,bottom
"C8_14","0.1uF","C_0402_1005Metric",167.100000,-78.010000,180.000000,bottom
"C8_15","0.1uF","C_0402_1005Metric",167.100000,-128.510000,180.000000,bottom
"C8_16","0.1uF","C_0402_1005Metric",192.600000,-53.010000,180.000000,bottom
"C8_17","0.1uF","C_0402_1005Metric",192.600000,-103.510000,180.000000,bottom
"C8_18","0.1uF","C_0402_1005Metric",192.600000,-154.010000,180.000000,bottom
"C8_19","0.1uF","C_0402_1005Metric",217.600000,-78.010000,180.000000,bottom
"C8_20","0.1uF","C_0402_1005Metric",217.600000,-128.510000,180.000000,bottom
"C9_1","0.1uF","C_0402_1005Metric",44.860000,-54.850000,180.000000,bottom
"C9_2","0.1uF","C_0402_1005Metric",44.860000,-105.350000,180.000000,bottom
"C9_3","0.1uF","C_0402_1005Metric",44.860000,-155.850000,180.000000,bottom
"C9_4","0.1uF","C_0402_1005Metric",69.860000,-79.850000,180.000000,bottom
"C9_5","0.1uF","C_0402_1005Metric",69.860000,-130.350000,180.000000,bottom
"C9_6","0.1uF","C_0402_1005Metric",95.360000,-54.850000,180.000000,bottom
"C9_7","0.1uF","C_0402_1005Metric",95.360000,-105.350000,180.000000,bottom
"C9_8","0.1uF","C_0402_1005Metric",95.360000,-155.850000,180.000000,bottom
"C9_9","0.1uF","C_0402_1005Metric",120.360000,-79.850000,180.000000,bottom
"C9_10","0.1uF","C_0402_1005Metric",120.360000,-130.350000,180.000000,bottom
"C9_11","0.1uF","C_0402_1005Metric",145.860000,-54.850000,180.000000,bottom
"C9_12","0.1uF","C_0402_1005Metric",145.860000,-105.350000,180.000000,bottom
"C9_13","0.1uF","C_0402_1005Metric",145.860000,-155.850000,180.000000,bottom
"C9_14","0.1uF","C_0402_1005Metric",170.860000,-79.850000,180.000000,bottom
"C9_15","0.1uF","C_0402_1005Metric",170.860000,-130.350000,180.000000,bottom
"C9_16","0.1uF","C_0402_1005Metric",196.360000,-54.850000,180.000000,bottom
"C9_17","0.1uF","C_0402_1005Metric",196.360000,-105.350000,180.000000,bottom
"C9_18","0.1uF","C_0402_1005Metric",196.360000,-155.850000,180.000000,bottom
"C9_19","0.1uF","C_0402_1005Metric",221.360000,-79.850000,180.000000,bottom
"C9_20","0.1uF","C_0402_1005Metric",221.360000,-130.350000,180.000000,bottom
"CR1","M24C16-WMN6TP","SO-8_STM",207.240300,-30.305000,180.000000,bottom
"R1","2K","R_0402_1005Metric",222.860000,-32.850000,180.000000,bottom
"R2","3K","R_0402_1005Metric",220.200000,-30.480000,90.000000,bottom
"R3","3.3K","R_0402_1005Metric",217.890000,-26.810000,180.000000,bottom
"R4_1","10R","R_0402_1005Metric",60.850000,-49.480000,0.000000,bottom
"R4_2","10R","R_0402_1005Metric",60.850000,-99.980000,0.000000,bottom
"R4_3","10R","R_0402_1005Metric",60.850000,-150.480000,0.000000,bottom
"R4_4","10R","R_0402_1005Metric",85.850000,-74.480000,0.000000,bottom
"R4_5","10R","R_0402_1005Metric",85.850000,-124.980000,0.000000,bottom
"R4_6","10R","R_0402_1005Metric",111.350000,-49.480000,0.000000,bottom
"R4_7","10R","R_0402_1005Metric",111.350000,-99.980000,0.000000,bottom
"R4_8","10R","R_0402_1005Metric",111.350000,-150.480000,0.000000,bottom
"R4_9","10R","R_0402_1005Metric",136.350000,-74.480000,0.000000,bottom
"R4_10","10R","R_0402_1005Metric",136.350000,-124.980000,0.000000,bottom
"R4_11","10R","R_0402_1005Metric",161.850000,-49.480000,0.000000,bottom
"R4_12","10R","R_0402_1005Metric",161.850000,-99.980000,0.000000,bottom
"R4_13","10R","R_0402_1005Metric",161.850000,-150.480000,0.000000,bottom
"R4_14","10R","R_0402_1005Metric",186.850000,-74.480000,0.000000,bottom
"R4_15","10R","R_0402_1005Metric",186.850000,-124.980000,0.000000,bottom
"R4_16","10R","R_0402_1005Metric",212.350000,-49.480000,0.000000,bottom
"R4_17","10R","R_0402_1005Metric",212.350000,-99.980000,0.000000,bottom
"R4_18","10R","R_0402_1005Metric",212.350000,-150.480000,0.000000,bottom
"R4_19","10R","R_0402_1005Metric",237.350000,-74.480000,0.000000,bottom
"R4_20","10R","R_0402_1005Metric",237.350000,-124.980000,0.000000,bottom
"R5_1","50R","R_0402_1005Metric",62.650000,-67.240000,180.000000,bottom
"R5_2","50R","R_0402_1005Metric",62.650000,-117.740000,180.000000,bottom
"R5_3","50R","R_0402_1005Metric",62.650000,-168.240000,180.000000,bottom
"R5_4","50R","R_0402_1005Metric",87.650000,-92.240000,180.000000,bottom
"R5_5","50R","R_0402_1005Metric",87.650000,-142.740000,180.000000,bottom
"R5_6","50R","R_0402_1005Metric",113.150000,-67.240000,180.000000,bottom
"R5_7","50R","R_0402_1005Metric",113.150000,-117.740000,180.000000,bottom
"R5_8","50R","R_0402_1005Metric",113.150000,-168.240000,180.000000,bottom
"R5_9","50R","R_0402_1005Metric",138.150000,-92.240000,180.000000,bottom
"R5_10","50R","R_0402_1005Metric",138.150000,-142.740000,180.000000,bottom
"R5_11","50R","R_0402_1005Metric",163.650000,-67.240000,180.000000,bottom
"R5_12","50R","R_0402_1005Metric",163.650000,-117.740000,180.000000,bottom
"R5_13","50R","R_0402_1005Metric",163.650000,-168.240000,180.000000,bottom
"R5_14","50R","R_0402_1005Metric",188.650000,-92.240000,180.000000,bottom
"R5_15","50R","R_0402_1005Metric",188.650000,-142.740000,180.000000,bottom
"R5_16","50R","R_0402_1005Metric",214.150000,-67.240000,180.000000,bottom
"R5_17","50R","R_0402_1005Metric",214.150000,-117.740000,180.000000,bottom
"R5_18","50R","R_0402_1005Metric",214.150000,-168.240000,180.000000,bottom
"R5_19","50R","R_0402_1005Metric",239.150000,-92.240000,180.000000,bottom
"R5_20","50R","R_0402_1005Metric",239.150000,-142.740000,180.000000,bottom
"R6_1","50R","R_0402_1005Metric",50.960000,-52.770000,0.000000,bottom
"R6_2","50R","R_0402_1005Metric",50.960000,-103.270000,0.000000,bottom
"R6_3","50R","R_0402_1005Metric",50.960000,-153.770000,0.000000,bottom
"R6_4","50R","R_0402_1005Metric",75.960000,-77.770000,0.000000,bottom
"R6_5","50R","R_0402_1005Metric",75.960000,-128.270000,0.000000,bottom
"R6_6","50R","R_0402_1005Metric",101.470000,-52.770000,0.000000,bottom
"R6_7","50R","R_0402_1005Metric",101.460000,-103.270000,0.000000,bottom
"R6_8","50R","R_0402_1005Metric",101.460000,-153.770000,0.000000,bottom
"R6_9","50R","R_0402_1005Metric",126.460000,-77.770000,0.000000,bottom
"R6_10","50R","R_0402_1005Metric",126.460000,-128.270000,0.000000,bottom
"R6_11","50R","R_0402_1005Metric",151.970000,-52.770000,0.000000,bottom
"R6_12","50R","R_0402_1005Metric",151.960000,-103.270000,0.000000,bottom
"R6_13","50R","R_0402_1005Metric",151.960000,-153.770000,0.000000,bottom
"R6_14","50R","R_0402_1005Metric",176.960000,-77.770000,0.000000,bottom
"R6_15","50R","R_0402_1005Metric",176.960000,-128.270000,0.000000,bottom
"R6_16","50R","R_0402_1005Metric",202.470000,-52.770000,0.000000,bottom
"R6_17","50R","R_0402_1005Metric",202.460000,-103.270000,0.000000,bottom
"R6_18","50R","R_0402_1005Metric",202.460000,-153.770000,0.000000,bottom
"R6_19","50R","R_0402_1005Metric",227.460000,-77.770000,0.000000,bottom
"R6_20","50R","R_0402_1005Metric",227.460000,-128.270000,0.000000,bottom
"R7_1","10K","R_0402_1005Metric",38.090000,-68.840000,-90.000000,bottom
"R7_2","10K","R_0402_1005Metric",38.090000,-119.340000,-90.000000,bottom
"R7_3","10K","R_0402_1005Metric",38.090000,-169.840000,-90.000000,bottom
"R7_4","10K","R_0402_1005Metric",63.090000,-93.840000,-90.000000,bottom
"R7_5","10K","R_0402_1005Metric",63.090000,-144.340000,-90.000000,bottom
"R7_6","10K","R_0402_1005Metric",88.590000,-68.840000,-90.000000,bottom
"R7_7","10K","R_0402_1005Metric",88.580000,-119.340000,-90.000000,bottom
"R7_8","10K","R_0402_1005Metric",88.590000,-169.840000,-90.000000,bottom
"R7_9","10K","R_0402_1005Metric",113.590000,-93.840000,-90.000000,bottom
"R7_10","10K","R_0402_1005Metric",113.590000,-144.340000,-90.000000,bottom
"R7_11","10K","R_0402_1005Metric",139.090000,-68.840000,-90.000000,bottom
"R7_12","10K","R_0402_1005Metric",139.080000,-119.340000,-90.000000,bottom
"R7_13","10K","R_0402_1005Metric",139.090000,-169.840000,-90.000000,bottom
"R7_14","10K","R_0402_1005Metric",164.090000,-93.840000,-90.000000,bottom
"R7_15","10K","R_0402_1005Metric",164.090000,-144.340000,-90.000000,bottom
"R7_16","10K","R_0402_1005Metric",189.590000,-68.840000,-90.000000,bottom
"R7_17","10K","R_0402_1005Metric",189.580000,-119.340000,-90.000000,bottom
"R7_18","10K","R_0402_1005Metric",189.590000,-169.840000,-90.000000,bottom
"R7_19","10K","R_0402_1005Metric",214.590000,-93.840000,-90.000000,bottom
"R7_20","10K","R_0402_1005Metric",214.590000,-144.340000,-90.000000,bottom
"R8_1","10K","R_0402_1005Metric",45.090000,-68.960000,90.000000,bottom
"R8_2","10K","R_0402_1005Metric",45.090000,-119.460000,90.000000,bottom
"R8_3","10K","R_0402_1005Metric",45.090000,-169.960000,90.000000,bottom
"R8_4","10K","R_0402_1005Metric",70.090000,-93.960000,90.000000,bottom
"R8_5","10K","R_0402_1005Metric",70.090000,-144.460000,90.000000,bottom
"R8_6","10K","R_0402_1005Metric",95.590000,-68.960000,90.000000,bottom
"R8_7","10K","R_0402_1005Metric",95.590000,-119.460000,90.000000,bottom
"R8_8","10K","R_0402_1005Metric",95.590000,-169.960000,90.000000,bottom
"R8_9","10K","R_0402_1005Metric",120.590000,-93.960000,90.000000,bottom
"R8_10","10K","R_0402_1005Metric",120.590000,-144.460000,90.000000,bottom
